name,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,url
Casa Vista Clara,0x87176dd8f4bbdf23:0xa23057ba90b00fca,36.5259388,-105.56247789999999,Wellness hotel,5.0,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87176dd8f4bbdf23:0xa23057ba90b00fca?authuser=-1&hl=en&gl=us
Good's Furniture Bed & Breakfast,0x880a0118188d47bf:0x61ffef7e28f403df,41.2451016,-89.92537879999999,Hotel,4.4,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x880a0118188d47bf:0x61ffef7e28f403df?authuser=-1&hl=en&gl=us
Coloma Cottages,0x809a55833fbe05ad:0xee6507787fb6a26c,38.7993522,-120.88576499999999,Resort hotel,5.0,48,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809a55833fbe05ad:0xee6507787fb6a26c?authuser=-1&hl=en&gl=us
Budget Host Inn,0x87d2a5343ef4e94b:0x78d4dee0ab39a3d4,34.6901278,-92.3068737,Hotel,3.8,16,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87d2a5343ef4e94b:0x78d4dee0ab39a3d4?authuser=-1&hl=en&gl=us
Marriot Spring,0x8856a024675aee89:0x862b88b4dadfe62c,35.2263172,-80.8384791,Hotel,5.0,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8856a024675aee89:0x862b88b4dadfe62c?authuser=-1&hl=en&gl=us
Carpenter Station,0x874d11221abf16c1:0x7aaabd844a1d6e58,39.9550735,-112.1190379,Hotel,5.0,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x874d11221abf16c1:0x7aaabd844a1d6e58?authuser=-1&hl=en&gl=us
Emerald Ridge Sub Division,0x88892dc32d67742d:0x91dc8f0e85b37f5e,33.115722999999996,-86.7648619,Resort hotel,4.0,14,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88892dc32d67742d:0x91dc8f0e85b37f5e?authuser=-1&hl=en&gl=us
Vicksburg Battlefield Inn,0x8628e1e78d2a1cc9:0xe221d4295b351b88,32.3459305,-90.844805,Extended stay hotel,3.2,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8628e1e78d2a1cc9:0xe221d4295b351b88?authuser=-1&hl=en&gl=us
Daytona Beach Oceanside Inn,0x88e6d9341a9a1edd:0x128274d78488c1f8,29.199479999999998,-80.99375909999999,Hotel,4.4,46,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e6d9341a9a1edd:0x128274d78488c1f8?authuser=-1&hl=en&gl=us
Brownies Cabins,0x89fb6721d867ed31:0x4a011977aa8300ba,41.919874,-70.0065427,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89fb6721d867ed31:0x4a011977aa8300ba?authuser=-1&hl=en&gl=us
The Rose Cottage in De Bruce,0x89dc97fd8935dd97:0x80860aef765fe4b4,41.9140975,-74.72721899999999,Hotel,5.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89dc97fd8935dd97:0x80860aef765fe4b4?authuser=-1&hl=en&gl=us
The Cedars Resort,0x4d35899ac0183ff9:0x6754d97bf46b1099,45.696930699999996,-84.7594567,Resort hotel,5.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4d35899ac0183ff9:0x6754d97bf46b1099?authuser=-1&hl=en&gl=us
Lozeau Lodge,0x535e0556f5e472fd:0xea99dee39511b6ad,47.1112556,-114.7843781,Hotel,4.7,7,https://www.google.com/maps/place//data=!4m2!3m1!1s0x535e0556f5e472fd:0xea99dee39511b6ad?authuser=-1&hl=en&gl=us
Retreat,0x8856ad3e1ddf555d:0x1c82777f14b09357,35.5541012,-80.9605114,Hotel,3.8,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8856ad3e1ddf555d:0x1c82777f14b09357?authuser=-1&hl=en&gl=us
Atlanta Banquet Hall,0x88f59771d03019fd:0x299abf5c4689e56b,34.042086999999995,-84.095934,Hotel,4.7,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88f59771d03019fd:0x299abf5c4689e56b?authuser=-1&hl=en&gl=us
Fairfield Inn & Suites by Marriott Lewisburg,0x89cf13db9b838f71:0xae0f579091e71c86,40.9628255,-76.89767479999999,Hotel,4.7,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89cf13db9b838f71:0xae0f579091e71c86?authuser=-1&hl=en&gl=us
Quality Inn Parkway,0x885bff45a4d76a1b:0x35d5c12df68ce026,35.818616999999996,-83.578694,Hotel,3.6,45,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885bff45a4d76a1b:0x35d5c12df68ce026?authuser=-1&hl=en&gl=us
Niagara Shores Campground and Conference Center,0x89d486fb46b35e0f:0xf89fc350fa1c93f0,43.3429024,-78.6801596,Hotel,4.8,38,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89d486fb46b35e0f:0xf89fc350fa1c93f0?authuser=-1&hl=en&gl=us
The Luxury Log House,0x89dc53af65a602b5:0x10190ffe79346777,42.210297,-74.224931,Hotel,4.5,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89dc53af65a602b5:0x10190ffe79346777?authuser=-1&hl=en&gl=us
Natural Springs Resort,0x884007ed1712bf37:0x10015fb7ab82ad7e,39.852526,-84.79279939999999,Hotel,4.3,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x884007ed1712bf37:0x10015fb7ab82ad7e?authuser=-1&hl=en&gl=us
UAW Black Lake,0x4d3506e6ef967d3f:0x55de2f7feb564b,45.413016999999996,-84.269035,Hotel,4.8,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4d3506e6ef967d3f:0x55de2f7feb564b?authuser=-1&hl=en&gl=us
Oceanfront Resorts & Beachside Condo Rentals,0x8833b69c357ac66f:0xec661f639c5931e1,30.2553196,-85.95883099999999,Hotel,4.5,16,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8833b69c357ac66f:0xec661f639c5931e1?authuser=-1&hl=en&gl=us
The INN at Willow Pond,0x89e05c2451c4878b:0x2d4580728dbf7a15,43.2071638,-73.0243859,Hotel,3.3,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e05c2451c4878b:0x2d4580728dbf7a15?authuser=-1&hl=en&gl=us
Catbird Hotel,0x876c7913a51081e3:0x8b0f57107e2473d6,39.7697104,-104.9723365,Extended stay hotel,3.4,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x876c7913a51081e3:0x8b0f57107e2473d6?authuser=-1&hl=en&gl=us
Gavins Celebration For Krewe Déjà Vu Du Monde Civic Center,0x863b843100db9f63:0xfed372bc4a0a1182,30.2266728,-93.21087109999999,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x863b843100db9f63:0xfed372bc4a0a1182?authuser=-1&hl=en&gl=us
A Plus Accommodations,0x88569e3c79905843:0x8ecd15ae7fb08ef2,35.157112999999995,-80.824607,Hotel,4.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88569e3c79905843:0x8ecd15ae7fb08ef2?authuser=-1&hl=en&gl=us
Thunderbird Motel,0x8859f38fb1ee70c9:0xafb23ad70f166aae,35.5863909,-82.5053829,Hotel,3.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8859f38fb1ee70c9:0xafb23ad70f166aae?authuser=-1&hl=en&gl=us
Coastal Hotels,0x54905ca6a91c483b:0x41c5e23580f8cd39,47.4373133,-122.28766069999999,Hotel,4.3,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x54905ca6a91c483b:0x41c5e23580f8cd39?authuser=-1&hl=en&gl=us
Hill Top Bed And Breakfast,0x89deba26c3815eb7:0x2c206dc2bb7928d9,42.9910876,-74.7502848,Hotel,3.0,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89deba26c3815eb7:0x2c206dc2bb7928d9?authuser=-1&hl=en&gl=us
Historic Stockholm Hotel,0x87f83107b2cd4b69:0x54c5f082dceec86b,44.4824485,-92.2605778,Hotel,4.0,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87f83107b2cd4b69:0x54c5f082dceec86b?authuser=-1&hl=en&gl=us
Northcote Cottages,0x4d4d36991ce4b905:0x4462a79eb59a7966,45.045383099999995,-87.1572925,Resort hotel,4.5,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4d4d36991ce4b905:0x4462a79eb59a7966?authuser=-1&hl=en&gl=us
Plaza Hotel,0x808fcca4857141bb:0x8ee693ff85b84051,37.3328653,-121.8924141,Hotel,5.0,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808fcca4857141bb:0x8ee693ff85b84051?authuser=-1&hl=en&gl=us
Shady Oaks RV Park,0x865cffff432c343d:0x581905d7ba87d2e2,29.15345,-98.484184,Hotel,3.8,14,https://www.google.com/maps/place//data=!4m2!3m1!1s0x865cffff432c343d:0x581905d7ba87d2e2?authuser=-1&hl=en&gl=us
Courtyard by Marriott Clearwater Beach Marina,0x88c2f720b0bec3ab:0x1de29e88709abd3d,27.980224,-82.8253249,Hotel,4.5,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88c2f720b0bec3ab:0x1de29e88709abd3d?authuser=-1&hl=en&gl=us
Snowline Cabin #48 - A Classic Family Cabin With an Outdoor Hot Tub!,0x548456d4d3775e2d:0x303898a8486a0dcf,48.894672,-121.919703,Hotel,4.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x548456d4d3775e2d:0x303898a8486a0dcf?authuser=-1&hl=en&gl=us
Life is Better at the Lake House,0x87c9014e47795113:0x2bb185d0d5c4e18e,36.478789,-94.3260729,Resort hotel,4.5,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87c9014e47795113:0x2bb185d0d5c4e18e?authuser=-1&hl=en&gl=us
Foster's Alaska Cabins,0x56c664a206912b9d:0x1a42fc77de603b22,60.5453736,-151.1494806,Hotel,4.9,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56c664a206912b9d:0x1a42fc77de603b22?authuser=-1&hl=en&gl=us
Jason's House,0x56c660d3752a21df:0xb09395c8866ad60f,60.488771,-150.9521231,Hotel,4.5,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x56c660d3752a21df:0xb09395c8866ad60f?authuser=-1&hl=en&gl=us
Wispering Creek,0x885bfd9650b578af:0x261618007579712c,35.7580501,-83.47827579999999,Hotel,4.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885bfd9650b578af:0x261618007579712c?authuser=-1&hl=en&gl=us
Northern Inn,0x8803b7f5e00f829d:0xe4726908b5bbf4dc,44.2354953,-88.4644222,Hotel,1.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8803b7f5e00f829d:0xe4726908b5bbf4dc?authuser=-1&hl=en&gl=us
Surf Inn,0x80dcf500f233cccb:0xe12a905dac8ce56d,33.399695799999996,-117.5945876,Hotel,3.6,24,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcf500f233cccb:0xe12a905dac8ce56d?authuser=-1&hl=en&gl=us
Hev Southtech Ltd,0x876c866554db965d:0xcef4b2b4f4c09379,39.60103,-104.8804388,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x876c866554db965d:0xcef4b2b4f4c09379?authuser=-1&hl=en&gl=us
Blueview Golf Villas LLC,0x88d9bbdc99f08e09:0x55e36a935e20d388,25.8206872,-80.3381556,Hotel,5.0,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9bbdc99f08e09:0x55e36a935e20d388?authuser=-1&hl=en&gl=us
Residence inn,0x876c7d804e9554d1:0x34bd667d45aa9b57,39.708101,-104.930903,Hotel,1.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x876c7d804e9554d1:0x34bd667d45aa9b57?authuser=-1&hl=en&gl=us
Fossil Knob Ridge Vacation Rentals,0x86edf92c758a28e1:0xdbac8411b6fc46e0,29.327078,-103.6296476,Hotel,5.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x86edf92c758a28e1:0xdbac8411b6fc46e0?authuser=-1&hl=en&gl=us
Periwinkle Properties,0x89e2b018cafd283b:0x70657eb9b9c87af8,43.172457699999995,-70.59927809999999,Hotel,4.7,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e2b018cafd283b:0x70657eb9b9c87af8?authuser=-1&hl=en&gl=us
Amherst Inn Bed and Breakfast,0x8801a91dd8e94e4d:0xf9d2c808dd0dac8b,44.448935999999996,-89.286362,Hotel,5.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8801a91dd8e94e4d:0xf9d2c808dd0dac8b?authuser=-1&hl=en&gl=us
Phoenix Nest Guest Houses -Birmingham House,0x865a4fc6c0ca6f51:0x914e5b67e51ed2c7,30.758888,-98.67800199999999,Extended stay hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x865a4fc6c0ca6f51:0x914e5b67e51ed2c7?authuser=-1&hl=en&gl=us
The Mermaid Cottage,0x8715ed80dfbe9e73:0x36580536298e5361,37.7967491,-106.3431789,Hotel,4.9,7,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8715ed80dfbe9e73:0x36580536298e5361?authuser=-1&hl=en&gl=us
A1 Value Inn Hernando,0x88e8726c816a3057:0xe0d9d1765f555ca5,28.8972436,-82.3729841,Hotel,3.3,58,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e8726c816a3057:0xe0d9d1765f555ca5?authuser=-1&hl=en&gl=us
Welcome Holdings,0x89ac5f6711ff93b5:0xe39ef4660e19bdad,35.7879,-78.64909999999999,Hotel,4.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89ac5f6711ff93b5:0xe39ef4660e19bdad?authuser=-1&hl=en&gl=us
Little Washington Spa,0x89b4332bcee483a3:0x29ff74a42c21076d,38.7120001,-78.1603817,Hotel,5.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89b4332bcee483a3:0x29ff74a42c21076d?authuser=-1&hl=en&gl=us
MainStay Suites,0x8876043ab19dcee5:0xed6cd4e4588f79f3,38.589411399999996,-89.93850909999999,Hotel,4.4,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8876043ab19dcee5:0xed6cd4e4588f79f3?authuser=-1&hl=en&gl=us
Pursell Farms,0x888951ddda02f2ab:0xacc0b545d3833d6a,33.1421013,-86.4133514,Hotel,4.6,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x888951ddda02f2ab:0xacc0b545d3833d6a?authuser=-1&hl=en&gl=us
Studio Plus Raleigh - North,0x89ac58c39abaa581:0x13f9daed4483be6c,35.8256395,-78.6255187,Hotel,3.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89ac58c39abaa581:0x13f9daed4483be6c?authuser=-1&hl=en&gl=us
Mountain Plaza at Center Village by Copper Mountain Lodging,0x876a5ffefa4bcf29:0xae3765ac038ffae0,39.5006822,-106.1549186,Hotel,4.7,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x876a5ffefa4bcf29:0xae3765ac038ffae0?authuser=-1&hl=en&gl=us
Fairbridge Inn and Suites,0x88f5500ab347805d:0xa9f73b9f5f8e1640,34.242691799999996,-84.773721,Hotel,3.3,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88f5500ab347805d:0xa9f73b9f5f8e1640?authuser=-1&hl=en&gl=us
Econo Lodge Central,0x8823d5b0eeecc77d:0x818fd528d74f1c95,43.6145104,-84.212214,Hotel,2.4,26,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8823d5b0eeecc77d:0x818fd528d74f1c95?authuser=-1&hl=en&gl=us
Doubletree Paradise valley,0x872b429779e684f9:0x94f3a131fef72fae,33.641838199999995,-112.2510363,Hotel,4.0,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x872b429779e684f9:0x94f3a131fef72fae?authuser=-1&hl=en&gl=us
Penns Creek Lodge at Laurelton,0x89cedfe1307d2ea1:0xb014bb347df53900,40.8815074,-77.20040929999999,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89cedfe1307d2ea1:0xb014bb347df53900?authuser=-1&hl=en&gl=us
Royal Inn,0x89ab817da0cc9085:0xca51f842f8032c87,35.289950999999995,-78.6023422,Hotel,2.5,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89ab817da0cc9085:0xca51f842f8032c87?authuser=-1&hl=en&gl=us
Fairfield by Marriott Inn & Suites Batavia,0x89d3ef1ae65b1b43:0x8bf13ae03f36eca2,43.0216474,-78.1952249,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89d3ef1ae65b1b43:0x8bf13ae03f36eca2?authuser=-1&hl=en&gl=us
Bird's Nest,0x88f387c0bc6cd63d:0x33d29b6fe1cdbde4,32.9134364,-84.1384613,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88f387c0bc6cd63d:0x33d29b6fe1cdbde4?authuser=-1&hl=en&gl=us
Lakeshore Resort Property,0x886a9f261e9e1ac5:0xa446c15f413b01ca,39.508156299999996,-85.01410059999999,Resort hotel,3.9,35,https://www.google.com/maps/place//data=!4m2!3m1!1s0x886a9f261e9e1ac5:0xa446c15f413b01ca?authuser=-1&hl=en&gl=us
The Loft at Camelot,0x886b809a7370d4e7:0x83420651c6af7461,39.2047513,-86.2466115,Hotel,4.3,7,https://www.google.com/maps/place//data=!4m2!3m1!1s0x886b809a7370d4e7:0x83420651c6af7461?authuser=-1&hl=en&gl=us
A Stone's Throw,0x54c1ea5097f6d0d1:0x151e5962c92706f0,44.357295799999996,-124.09397879999999,Hotel,5.0,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x54c1ea5097f6d0d1:0x151e5962c92706f0?authuser=-1&hl=en&gl=us
Tri-Birches,0x52b71a04a33d0963:0xcdd6ff6f8921a8c3,46.8854222,-94.45235579999999,Resort hotel,4.9,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x52b71a04a33d0963:0xcdd6ff6f8921a8c3?authuser=-1&hl=en&gl=us
The Trading Post,0x86fbc136dc0065c5:0x7031042c288aadce,32.0273204,-102.3738305,Hotel,3.7,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x86fbc136dc0065c5:0x7031042c288aadce?authuser=-1&hl=en&gl=us
Summerset Inn Resort & Villas,0x87c4c522efc0575d:0xde3b68ac7b5df3df,38.137029,-92.65107499999999,Resort hotel,4.4,54,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87c4c522efc0575d:0xde3b68ac7b5df3df?authuser=-1&hl=en&gl=us
Baydream Believer Cape Charles,0x89ba5df21b06beed:0x1442945455c5c591,37.2688738,-76.01790679999999,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89ba5df21b06beed:0x1442945455c5c591?authuser=-1&hl=en&gl=us
Ramada Fredericksburg South,0x89b6c139ef1646d5:0xb84b2df3071280e1,38.2450806,-77.4980181,Hotel,3.4,15,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89b6c139ef1646d5:0xb84b2df3071280e1?authuser=-1&hl=en&gl=us
Hilton,0x88d9aa6b7d7b6bed:0x37c499342a9a39a2,26.065181,-80.162967,Hotel,2.4,28,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9aa6b7d7b6bed:0x37c499342a9a39a2?authuser=-1&hl=en&gl=us
Rodeway Inn,0x864f8179f383bb3f:0x9f338fdbdeb26c68,31.509908999999997,-97.1407756,Hotel,3.1,15,https://www.google.com/maps/place//data=!4m2!3m1!1s0x864f8179f383bb3f:0x9f338fdbdeb26c68?authuser=-1&hl=en&gl=us
Howard Johnson Lawrence,0x87bf6f2206562c63:0x5a17a47e74c3dcb0,38.9733485,-95.2627962,Hotel,3.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87bf6f2206562c63:0x5a17a47e74c3dcb0?authuser=-1&hl=en&gl=us
